time_sec,left_goal_deg,left_actual_deg,left_error_deg,left_velocity_raw,left_current_raw,right_goal_deg,right_actual_deg,right_error_deg,right_velocity_raw,right_current_raw
72.2170,193.799,178.682,15.117,48,18,166.201,180.703,-14.502,-50,-18
72.3107,198.193,185.186,13.008,51,16,161.807,174.463,-12.656,-46,-17
72.4052,200.918,190.986,9.932,44,16,159.082,168.750,-9.668,-43,-17
72.4981,201.885,195.820,6.064,35,15,158.115,164.092,-5.977,-36,-16
72.5912,201.006,199.072,1.934,22,14,158.994,160.752,-1.758,-21,-15
72.6850,198.281,200.830,-2.549,9,12,161.719,159.346,2.373,-5,-14
72.7789,193.975,200.918,-6.943,-1,-13,166.025,159.258,6.768,0,14
72.8727,188.525,199.688,-11.162,-14,-16,171.475,160.049,11.426,12,19
72.9676,182.197,196.172,-13.975,-31,-18,177.803,163.916,13.887,34,19
73.0596,175.957,191.162,-15.205,-41,-19,184.043,168.838,15.205,41,19
73.1531,169.893,185.361,-15.469,-47,-19,190.107,174.551,15.557,47,20
73.2456,164.707,179.033,-14.326,-49,-17,195.293,181.055,14.238,53,18
73.3396,160.840,172.881,-12.041,-47,-17,199.160,187.383,11.777,49,16
73.4335,158.555,167.520,-8.965,-39,-16,201.445,192.920,8.525,41,16
73.5266,158.115,163.213,-5.098,-31,-14,201.885,197.314,4.570,32,15
73.6197,159.609,160.049,-0.439,-19,-13,200.391,200.127,0.264,19,14
73.7136,162.861,158.906,3.955,-5,-12,197.139,201.270,-4.131,6,2
73.8057,167.432,158.994,8.438,1,15,192.568,200.918,-8.350,-4,-16
73.8990,173.232,160.752,12.480,23,16,186.768,198.721,-11.953,-21,-18
73.9908,179.385,165.059,14.326,36,17,180.615,194.590,-13.975,-34,-18
74.0849,185.713,170.068,15.645,42,19,174.287,189.316,-15.029,-43,-19
74.1768,191.514,176.045,15.469,49,18,168.486,183.428,-14.941,-47,-19
74.2696,196.436,182.285,14.150,51,16,163.564,177.100,-13.535,-49,-18
74.3627,199.951,188.438,11.514,46,15,160.049,171.299,-11.250,-44,-17
74.4569,201.709,193.887,7.822,40,15,158.291,166.113,-7.822,-37,-18
74.5523,201.621,198.018,3.604,28,14,158.379,161.807,-3.428,-27,-15
74.6476,199.600,200.391,-0.791,15,12,160.400,159.521,0.879,-13,-14
74.7418,195.908,201.006,-5.098,2,-12,164.092,159.082,5.010,-2,12
74.8366,190.723,200.479,-9.756,-6,-15,169.277,159.434,9.844,6,18
74.9316,184.658,197.842,-13.184,-25,-17,175.342,162.070,13.271,27,19
75.0251,178.330,193.271,-14.941,-37,-18,181.670,166.904,14.766,39,18
75.1204,171.914,187.471,-15.557,-45,-18,188.086,172.529,15.557,45,19
75.2141,166.377,181.143,-14.766,-50,-17,193.623,178.770,14.854,50,18
75.3093,161.895,174.814,-12.920,-47,-18,198.105,185.449,12.656,51,17
75.4050,159.082,169.102,-10.020,-42,-17,200.918,191.250,9.668,43,17
75.4986,158.115,164.443,-6.328,-34,-14,201.885,195.996,5.889,34,15
75.5919,158.994,160.752,-1.758,-24,-14,201.006,199.424,1.582,22,14
75.6868,161.719,159.170,2.549,-7,-13,198.281,201.006,-2.725,8,13
75.7795,166.025,158.994,7.031,0,13,193.975,201.094,-7.119,-1,-15
75.8734,171.562,159.961,11.602,15,17,188.438,199.512,-11.074,-16,-17
75.9688,177.891,163.916,13.975,34,16,182.109,195.732,-13.623,-32,-19
76.0619,184.219,168.750,15.469,40,18,175.781,190.723,-14.941,-42,-18
76.1564,190.283,174.814,15.469,49,18,169.717,184.834,-15.117,-46,-19
76.2524,195.645,181.230,14.414,51,17,164.355,178.242,-13.887,-49,-18
76.3460,199.424,187.383,12.041,47,17,160.576,172.354,-11.777,-46,-18
76.4397,201.533,193.096,8.438,42,14,158.467,166.992,-8.525,-39,-16
76.5351,201.797,197.402,4.395,30,15,158.203,162.422,-4.219,-29,-15
76.6295,200.127,200.039,0.088,18,13,159.873,159.873,0.000,-16,-14
76.7232,196.787,201.006,-4.219,4,8,163.213,159.170,4.043,-2,-13
76.8186,191.777,200.742,-8.965,-3,-16,168.223,159.258,8.965,4,15
76.9128,185.889,198.545,-12.656,-22,-17,174.111,161.367,12.744,23,18
77.0070,179.561,194.238,-14.678,-36,-18,180.439,165.850,14.590,38,18
77.1024,173.057,188.613,-15.557,-43,-18,186.943,171.387,15.557,45,20
77.1970,167.256,182.373,-15.117,-49,-17,192.744,177.451,15.293,49,19
77.2906,162.686,176.133,-13.447,-48,-17,197.314,184.219,13.096,53,17
77.3859,159.434,170.156,-10.723,-44,-16,200.566,190.195,10.371,45,17
77.4808,158.115,165.234,-7.119,-35,-16,201.885,195.205,6.680,36,16
77.5747,158.643,161.191,-2.549,-28,-13,201.357,198.984,2.373,25,14
77.6696,161.104,159.170,1.934,-10,-12,198.896,200.918,-2.021,12,13
77.7629,165.146,158.906,6.240,0,14,194.854,201.182,-6.328,-1,-13
77.8565,170.508,159.434,11.074,8,17,189.492,200.039,-10.547,-13,-16
77.9524,176.748,162.949,13.799,33,17,183.252,196.523,-13.271,-30,-18
78.0461,183.164,167.783,15.381,38,18,176.836,191.689,-14.854,-40,-18
78.1407,189.316,173.584,15.732,47,19,170.684,185.713,-15.029,-49,-18
78.2325,194.590,179.736,14.854,51,18,165.410,179.736,-14.326,-48,-19
78.3259,198.721,186.152,12.568,49,16,161.279,173.496,-12.217,-48,-18
78.4205,201.270,191.865,9.404,43,15,158.730,167.959,-9.229,-41,-17
78.5149,201.885,196.611,5.273,33,14,158.115,163.301,-5.186,-33,-16
78.6089,200.654,199.600,1.055,20,13,159.346,160.225,-0.879,-20,-15
78.7034,197.578,200.918,-3.340,7,12,162.422,159.170,3.252,-4,-13
78.7973,193.008,200.830,-7.822,-1,-14,166.992,159.170,7.822,2,15
78.8907,187.383,199.248,-11.865,-18,-17,172.617,160.576,12.041,17,19
78.9853,180.967,195.293,-14.326,-34,-17,179.033,164.619,14.414,35,18
79.0793,174.639,190.107,-15.469,-42,-19,185.361,169.893,15.469,43,19
79.1735,168.662,183.955,-15.293,-48,-18,191.338,175.957,15.381,49,21
79.2653,163.740,177.715,-13.975,-48,-18,196.260,182.461,13.799,53,18
79.3564,160.312,171.826,-11.514,-45,-17,199.688,188.438,11.250,48,16
79.4481,158.379,166.729,-8.350,-37,-16,201.621,193.711,7.910,40,15
79.5423,158.291,162.422,-4.131,-30,-14,201.709,197.930,3.779,30,14
79.6337,159.961,159.785,0.176,-16,-13,200.039,200.303,-0.264,16,14
79.7273,163.477,158.994,4.482,-2,3,196.523,201.182,-4.658,3,-13
79.8209,168.311,158.994,9.316,0,17,191.689,200.654,-8.965,-6,-16
79.9152,174.287,161.367,12.920,26,15,185.713,198.193,-12.480,-23,-18
80.0086,180.527,165.850,14.678,36,18,179.473,193.799,-14.326,-35,-19
80.1033,186.943,171.211,15.732,45,19,173.057,188.174,-15.117,-43,-19
80.1970,192.744,177.275,15.469,45,19,167.256,182.021,-14.766,-49,-19
80.2917,197.402,183.867,13.535,52,17,162.598,175.869,-13.271,-46,-19
80.3871,200.566,189.932,10.635,45,16,159.434,169.805,-10.371,-43,-17
80.4819,201.885,195.117,6.768,36,15,158.115,164.795,-6.680,-36,-16
80.5760,201.270,198.721,2.549,25,13,158.730,161.104,-2.373,-23,-16
80.6706,198.809,200.654,-1.846,12,12,161.191,159.434,1.758,-7,-15
80.7649,194.766,200.918,-6.152,-1,-12,165.234,159.258,5.977,0,13
80.8588,189.404,200.039,-10.635,-11,-16,170.596,159.785,10.811,8,18
80.9534,183.164,196.787,-13.623,-29,-18,176.836,163.037,13.799,31,19
81.0482,176.748,191.953,-15.205,-39,-18,183.252,168.047,15.205,40,19
81.1422,170.596,186.152,-15.557,-47,-18,189.404,173.760,15.645,46,20
81.2366,165.146,179.736,-14.590,-49,-17,194.854,180.264,14.590,52,19
81.3320,161.104,173.320,-12.217,-47,-17,198.896,186.855,12.041,49,17
81.4264,158.643,167.871,-9.229,-39,-16,201.357,192.480,8.877,42,15
81.5204,158.115,163.477,-5.361,-32,-15,201.885,197.051,4.834,33,15
81.6142,159.434,160.137,-0.703,-20,-14,200.566,199.951,0.615,19,14
81.7070,162.598,158.906,3.691,-5,-12,197.402,201.182,-3.779,6,14
81.8023,167.256,158.994,8.262,2,16,192.744,201.006,-8.262,-3,-16
81.8966,173.057,160.664,12.393,22,18,186.943,198.896,-11.953,-20,-18
81.9906,179.385,165.059,14.326,36,17,180.615,194.678,-14.062,-34,-18
82.0849,185.713,170.156,15.557,42,19,174.287,189.316,-15.029,-43,-19
82.1797,191.689,176.221,15.469,48,20,168.311,183.252,-14.941,-46,-18
82.2743,196.611,182.637,13.975,52,16,163.389,176.924,-13.535,-49,-19
82.3698,200.127,188.877,11.250,46,16,159.873,170.947,-11.074,-43,-18
82.4651,201.797,194.326,7.471,39,16,158.203,165.762,-7.559,-36,-16
82.5587,201.533,198.193,3.340,27,15,158.467,161.719,-3.252,-27,-16
82.6531,199.424,200.479,-1.055,15,13,160.576,159.521,1.055,-12,-15
82.7473,195.645,200.918,-5.273,0,-13,164.355,159.082,5.273,-1,12
82.8406,190.547,200.479,-9.932,-6,-16,169.453,159.521,9.932,6,17
82.9363,184.307,197.666,-13.359,-26,-18,175.693,162.246,13.447,27,18
83.0305,177.979,193.096,-15.117,-37,-18,182.021,166.992,15.029,39,19
83.1233,171.738,187.383,-15.645,-45,-19,188.262,172.617,15.645,46,20
83.2189,166.113,180.879,-14.766,-49,-17,193.887,179.121,14.766,52,18
83.3137,161.719,174.551,-12.832,-48,-19,198.281,185.713,12.568,51,17
83.4072,158.994,168.926,-9.932,-41,-17,201.006,191.514,9.492,43,16
83.5010,158.115,164.268,-6.152,-34,-16,201.885,196.172,5.713,34,14
83.5937,158.994,160.664,-1.670,-24,-14,201.006,199.512,1.494,21,14
83.6883,161.807,159.082,2.725,-7,-13,198.193,201.006,-2.812,8,14
83.7817,166.113,158.994,7.119,2,14,193.887,201.006,-7.119,-1,-15
83.8752,171.650,159.961,11.689,16,17,188.350,199.512,-11.162,-17,-17
83.9694,177.979,163.916,14.062,34,17,182.021,195.732,-13.711,-32,-19
84.0633,184.307,168.750,15.557,40,19,175.693,190.635,-14.941,-42,-19
84.1574,190.371,174.727,15.645,49,19,169.629,184.746,-15.117,-47,-19
84.2544,195.732,181.230,14.502,51,18,164.268,178.154,-13.887,-49,-19
84.3497,199.512,187.646,11.865,47,16,160.488,172.002,-11.514,-46,-18
84.4439,201.621,193.271,8.350,41,15,158.379,166.729,-8.350,-38,-17
84.5379,201.797,197.490,4.307,30,14,158.203,162.422,-4.219,-29,-16
84.6316,200.039,200.127,-0.088,18,13,159.961,159.785,0.176,-16,-14
84.7255,196.611,201.094,-4.482,5,0,163.389,159.170,4.219,-2,-13
84.8202,191.689,200.742,-9.053,-3,-15,168.311,159.258,9.053,4,16
84.9138,185.801,198.457,-12.656,-22,-17,174.199,161.367,12.832,24,19
85.0078,179.473,194.238,-14.766,-36,-19,180.527,165.938,14.590,39,18
85.1031,173.057,188.613,-15.557,-43,-19,186.943,171.475,15.469,45,20
85.1968,167.344,182.373,-15.029,-49,-18,192.656,177.539,15.117,48,19
85.2900,162.686,176.133,-13.447,-47,-18,197.314,184.131,13.184,52,17
85.3848,159.521,170.244,-10.723,-43,-17,200.479,190.107,10.371,45,16
85.4787,158.115,165.410,-7.295,-34,-15,201.885,195.117,6.768,36,15
85.5725,158.643,161.367,-2.725,-28,-15,201.357,198.809,2.549,26,15
85.6667,161.016,159.258,1.758,-11,-14,198.984,200.830,-1.846,13,13
85.7603,165.059,158.994,6.064,2,13,194.941,201.182,-6.240,1,-13
85.8540,170.332,159.346,10.986,7,17,189.668,200.127,-10.459,-12,-17
85.9484,176.484,162.861,13.623,33,18,183.516,196.699,-13.184,-30,-18
86.0412,182.812,167.520,15.293,37,18,177.188,191.953,-14.766,-39,-18
86.1363,189.053,173.408,15.645,48,19,170.947,186.064,-15.117,-48,-18
86.2313,194.590,179.736,14.854,51,18,165.410,179.824,-14.414,-49,-19
86.3253,198.721,186.152,12.568,49,17,161.279,173.584,-12.305,-47,-18
86.4205,201.270,191.953,9.316,43,16,158.730,167.959,-9.229,-42,-17
86.5145,201.885,196.611,5.273,33,15,158.115,163.301,-5.186,-33,-16
86.6085,200.654,199.600,1.055,20,13,159.346,160.225,-0.879,-20,-14
86.7030,197.578,200.918,-3.340,7,12,162.422,159.170,3.252,-3,-13
86.7972,193.008,200.830,-7.822,-1,-14,166.992,159.258,7.734,2,15
86.8908,187.383,199.248,-11.865,-17,-17,172.617,160.576,12.041,17,18
86.9856,180.967,195.293,-14.326,-34,-18,179.033,164.707,14.326,36,18
87.0805,174.551,189.932,-15.381,-42,-19,185.449,170.068,15.381,43,20
87.1739,168.662,183.955,-15.293,-48,-19,191.338,175.957,15.381,50,20
87.2691,163.564,177.451,-13.887,-49,-18,196.436,182.549,13.887,52,18
87.3637,160.049,171.387,-11.338,-44,-18,199.951,188.877,11.074,48,16
87.4564,158.291,166.377,-8.086,-36,-16,201.709,194.062,7.646,39,15
87.5518,158.379,162.070,-3.691,-30,-14,201.621,198.281,3.340,29,14
87.6456,160.312,159.521,0.791,-14,-13,199.688,200.566,-0.879,16,13
87.7393,164.004,158.994,5.010,0,12,195.996,201.182,-5.186,1,-13
87.8335,169.102,159.170,9.932,3,17,190.898,200.479,-9.580,-9,-16
87.9283,175.166,161.982,13.184,29,18,184.834,197.754,-12.920,-25,-18
88.0218,181.494,166.553,14.941,37,18,178.506,193.096,-14.590,-37,-18
88.1175,187.910,172.178,15.732,47,20,172.090,187.207,-15.117,-46,-19
88.2117,193.535,178.330,15.205,47,19,166.465,180.967,-14.502,-49,-18
88.3058,197.930,184.922,13.008,51,17,162.070,174.902,-12.832,-44,-18
88.4009,200.830,190.811,10.020,44,16,159.170,169.014,-9.844,-43,-17
88.4950,201.885,195.732,6.152,35,15,158.115,164.268,-6.152,-35,-16
88.5886,201.094,198.984,2.109,22,14,158.906,160.840,-1.934,-21,-15
88.6833,198.369,200.742,-2.373,10,13,161.631,159.346,2.285,-6,-15
88.7765,194.150,200.918,-6.768,0,-14,165.850,159.346,6.504,2,14
88.8708,188.613,199.775,-11.162,-14,-16,171.387,159.961,11.426,10,18
88.9653,182.373,196.348,-13.975,-30,-19,177.627,163.652,13.975,33,18
89.0594,175.957,191.162,-15.205,-42,-19,184.043,168.662,15.381,41,18
89.1546,169.805,185.273,-15.469,-47,-19,190.195,174.639,15.557,48,19
89.2477,164.619,178.945,-14.326,-49,-19,195.381,181.143,14.238,53,18
89.3413,160.752,172.793,-12.041,-46,-17,199.248,187.471,11.777,49,17
89.4366,158.467,167.432,-8.965,-38,-16,201.533,193.008,8.525,41,16
89.5313,158.203,162.861,-4.658,-32,-15,201.797,197.490,4.307,32,14
89.6255,159.785,159.873,-0.088,-18,-14,200.215,200.215,0.000,18,14
89.7199,163.125,158.906,4.219,-3,2,196.875,201.182,-4.307,4,-9
89.8144,167.959,158.994,8.965,1,17,192.041,200.742,-8.701,-5,-16
89.9090,173.848,161.104,12.744,25,18,186.152,198.457,-12.305,-22,-17
90.0037,180.176,165.586,14.590,36,17,179.824,194.062,-14.238,-35,-17
90.0984,186.680,170.947,15.732,45,18,173.320,188.613,-15.293,-43,-19
90.1925,192.480,176.924,15.557,45,21,167.520,182.461,-14.941,-48,-19
90.2871,197.227,183.516,13.711,52,16,162.773,176.133,-13.359,-47,-18
90.3817,200.391,189.668,10.723,45,16,159.609,170.156,-10.547,-43,-18
90.4748,201.885,194.766,7.119,37,15,158.115,165.234,-7.119,-35,-17
90.5704,201.357,198.457,2.900,25,14,158.643,161.367,-2.725,-24,-16
90.6644,199.072,200.566,-1.494,13,13,160.928,159.434,1.494,-11,-14
90.7581,195.117,201.006,-5.889,-1,-14,164.883,159.170,5.713,0,12
90.8535,189.756,200.127,-10.371,-10,-16,170.244,159.609,10.635,6,18
90.9487,183.516,197.051,-13.535,-27,-18,176.484,162.773,13.711,30,19
91.0423,177.100,192.305,-15.205,-39,-19,182.900,167.607,15.293,39,19
91.1366,170.859,186.504,-15.645,-46,-19,189.141,173.408,15.732,46,20
91.2315,165.410,180.000,-14.590,-50,-18,194.590,180.000,14.590,53,19
91.3256,161.279,173.760,-12.480,-47,-19,198.721,186.504,12.217,49,17
91.4205,158.730,168.135,-9.404,-41,-17,201.270,192.217,9.053,42,16
91.5142,158.115,163.652,-5.537,-32,-15,201.885,196.787,5.098,33,15
91.6083,159.346,160.225,-0.879,-21,-14,200.654,199.863,0.791,20,14
91.7031,162.422,158.994,3.428,-5,-12,197.578,201.094,-3.516,5,12
91.7974,166.992,158.906,8.086,0,15,193.008,201.006,-7.998,-2,-15
91.8888,172.529,160.312,12.217,20,17,187.471,199.160,-11.689,-19,-18
91.9844,178.945,164.619,14.326,35,17,181.055,195.029,-13.975,-34,-18
92.0783,185.273,169.629,15.645,42,19,174.727,189.756,-15.029,-43,-18
92.1728,191.338,175.781,15.557,50,19,168.662,183.779,-15.117,-45,-19
92.2652,196.172,182.021,14.150,52,17,163.828,177.539,-13.711,-48,-18
92.3592,199.775,188.262,11.514,47,17,160.225,171.475,-11.250,-45,-18
92.4532,201.709,193.711,7.998,41,16,158.291,166.289,-7.998,-37,-17
92.5492,201.709,197.842,3.867,29,14,158.291,161.982,-3.691,-27,-15
92.6411,199.775,200.303,-0.527,17,14,160.225,159.697,0.527,-14,-14
92.7384,196.084,201.094,-5.010,3,-12,163.916,159.082,4.834,-2,9
92.8344,190.898,200.566,-9.668,-5,-16,169.102,159.434,9.668,5,16
92.9275,184.922,197.930,-13.008,-24,-19,175.078,161.807,13.271,26,18
93.0189,178.770,193.623,-14.854,-37,-18,181.230,166.377,14.854,39,18
93.1112,172.529,188.086,-15.557,-44,-19,187.471,171.826,15.645,46,20
93.2075,166.729,181.758,-15.029,-49,-18,193.271,178.242,15.029,50,19
93.3058,162.070,175.166,-13.096,-48,-19,197.930,185.186,12.744,52,17
93.4061,158.994,169.014,-10.020,-41,-16,201.006,191.426,9.580,43,16
93.5008,158.115,164.443,-6.328,-34,-16,201.885,196.084,5.801,34,15
93.5956,159.082,160.664,-1.582,-25,-13,200.918,199.424,1.494,21,14
93.6889,161.807,159.082,2.725,-7,-13,198.193,201.006,-2.812,9,12
93.7833,166.201,158.994,7.207,1,14,193.799,201.006,-7.207,-2,-14
93.8768,171.738,159.961,11.777,16,17,188.262,199.512,-11.250,-17,-18
93.9698,177.979,163.916,14.062,35,17,182.021,195.732,-13.711,-32,-18
94.0645,184.395,168.750,15.645,40,19,175.605,190.635,-15.029,-42,-19
94.1586,190.459,174.814,15.645,49,18,169.541,184.658,-15.117,-46,-18
94.2536,195.645,181.318,14.326,52,17,164.355,178.154,-13.799,-49,-18
94.3485,199.512,187.646,11.865,47,16,160.488,172.178,-11.689,-46,-17
94.4429,201.533,193.184,8.350,42,16,158.467,166.904,-8.438,-38,-17
94.5361,201.797,197.490,4.307,30,14,158.203,162.510,-4.307,-29,-16
94.6313,200.127,200.127,0.000,17,13,159.873,159.873,0.000,-15,-14
94.7260,196.611,201.006,-4.395,4,7,163.389,159.258,4.131,0,-13
94.8420,190.459,200.391,-9.932,-7,-16,169.541,159.434,10.107,4,18
94.9318,184.658,198.018,-13.359,-23,-18,175.342,161.807,13.535,25,18
95.0269,178.154,193.447,-15.293,-38,-19,181.846,166.553,15.293,40,20
95.1254,171.650,187.295,-15.645,-46,-18,188.350,172.705,15.645,47,20
95.2385,165.059,179.473,-14.414,-50,-18,194.941,180.527,14.414,53,17
95.3402,160.752,173.057,-12.305,-44,-18,199.248,187.207,12.041,47,17
95.4371,158.467,167.520,-9.053,-39,-17,201.533,192.920,8.613,42,15
95.5240,158.115,163.301,-5.186,-34,-16,201.885,197.139,4.746,33,14
95.6327,159.961,159.697,0.264,-17,-14,200.039,200.303,-0.264,18,13
95.7202,163.125,158.906,4.219,-2,-6,196.875,201.270,-4.395,5,-9
95.8078,167.607,158.994,8.613,2,16,192.393,200.918,-8.525,-4,-16
95.8956,172.969,160.576,12.393,21,17,187.031,198.984,-11.953,-20,-18
95.9827,178.857,164.619,14.238,35,17,181.143,195.117,-13.975,-34,-18
96.0721,184.922,169.365,15.557,42,19,175.078,190.107,-15.029,-42,-19
96.1596,190.547,174.990,15.557,49,18,169.453,184.658,-15.205,-46,-18
96.2466,195.293,180.791,14.502,52,18,164.707,178.770,-14.062,-48,-18
96.3335,198.984,186.768,12.217,49,16,161.016,173.057,-12.041,-48,-18
96.4214,201.270,192.041,9.229,42,16,158.730,167.959,-9.229,-41,-17
96.5083,201.885,196.348,5.537,34,15,158.115,163.652,-5.537,-35,-16
96.5969,200.918,199.248,1.670,22,13,159.082,160.576,-1.494,-21,-14
96.6850,198.281,200.742,-2.461,9,12,161.719,159.258,2.461,-6,-14
96.7721,194.414,200.918,-6.504,1,-14,165.586,159.170,6.416,0,14
96.8613,189.229,199.951,-10.723,-12,-17,170.771,159.785,10.986,8,19
96.9496,183.428,197.051,-13.623,-28,-17,176.572,162.773,13.799,31,19
97.0380,177.451,192.568,-15.117,-38,-18,182.549,167.432,15.117,40,19
97.1253,171.650,187.207,-15.557,-45,-19,188.350,172.793,15.557,45,19
97.2140,166.377,181.230,-14.854,-49,-19,193.623,178.770,14.854,51,19
97.3130,161.719,174.639,-12.920,-47,-17,198.281,185.537,12.744,50,17
97.4138,158.906,168.662,-9.756,-41,-17,201.094,191.777,9.316,43,16
97.5019,158.115,164.268,-6.152,-34,-16,201.885,196.172,5.713,34,15
97.5948,159.082,160.576,-1.494,-24,-13,200.918,199.512,1.406,21,13
97.6830,161.631,159.082,2.549,-8,-12,198.369,201.006,-2.637,10,13
97.7728,165.674,158.994,6.680,1,13,194.326,201.094,-6.768,1,-15
97.8595,170.684,159.521,11.162,11,17,189.316,199.863,-10.547,-13,-17
97.9510,176.660,163.037,13.623,33,17,183.340,196.611,-13.271,-30,-18
98.0403,182.725,167.520,15.205,37,17,177.275,192.041,-14.766,-39,-17
98.1279,188.525,172.793,15.732,46,19,171.475,186.592,-15.117,-47,-18
98.2156,193.711,178.418,15.293,47,19,166.289,180.879,-14.590,-49,-18
98.3037,197.842,184.570,13.271,51,17,162.158,175.166,-13.008,-45,-19
98.3911,200.654,190.195,10.459,45,16,159.346,169.629,-10.283,-43,-17
98.4819,201.885,195.029,6.855,36,16,158.115,164.883,-6.768,-35,-16
98.5691,201.445,198.457,2.988,26,14,158.555,161.367,-2.812,-24,-16
98.6563,199.336,200.479,-1.143,15,13,160.664,159.521,1.143,-12,-14
98.7437,195.820,201.006,-5.186,2,-12,164.180,159.170,5.010,-1,12
98.8316,191.074,200.566,-9.492,-5,-16,168.926,159.434,9.492,3,16
98.9191,185.449,198.281,-12.832,-23,-17,174.551,161.455,13.096,24,19
99.0068,179.561,194.326,-14.766,-35,-19,180.439,165.762,14.678,39,19
99.0963,173.496,189.053,-15.557,-43,-18,186.504,170.947,15.557,45,19
99.1861,167.959,183.076,-15.117,-49,-19,192.041,176.660,15.381,49,20
99.2742,163.389,177.188,-13.799,-48,-17,196.611,182.988,13.623,53,17
99.3624,160.137,171.562,-11.426,-45,-18,199.863,188.789,11.074,48,16
99.4501,158.379,166.729,-8.350,-37,-17,201.621,193.711,7.910,40,15
99.5373,158.203,162.686,-4.482,-32,-14,201.797,197.666,4.131,31,16
99.6261,159.785,159.873,-0.088,-18,-14,200.215,200.215,0.000,18,14
99.7151,162.861,158.906,3.955,-4,-13,197.139,201.182,-4.043,5,12
99.8021,167.256,158.994,8.262,1,15,192.744,201.006,-8.262,-3,-15
99.9090,173.848,161.016,12.832,25,18,186.152,198.457,-12.305,-22,-17
100.0053,180.352,165.586,14.766,36,17,179.648,194.150,-14.502,-35,-18
100.0935,186.328,170.508,15.820,44,19,173.672,189.053,-15.381,-44,-19
100.1833,191.953,176.396,15.557,48,19,168.047,182.988,-14.941,-49,-19
100.2703,196.436,182.373,14.062,52,18,163.564,177.100,-13.535,-50,-18
100.3582,199.775,188.174,11.602,46,17,160.225,171.562,-11.338,-45,-18
100.4455,201.621,193.271,8.350,41,15,158.379,166.729,-8.350,-37,-17
100.5325,201.797,197.227,4.570,30,15,158.203,162.686,-4.482,-29,-17
100.6192,200.391,199.775,0.615,19,14,159.609,160.137,-0.527,-18,-15
100.7060,197.490,200.918,-3.428,7,13,162.510,159.258,3.252,-3,-13
100.7954,193.096,200.830,-7.734,-1,-15,166.904,159.258,7.646,2,15
100.8841,187.822,199.424,-11.602,-16,-17,172.178,160.312,11.865,15,19
100.9713,181.934,196.084,-14.150,-31,-18,178.066,163.916,14.150,34,20
101.0591,175.957,191.338,-15.381,-41,-18,184.043,168.662,15.381,41,19
101.1483,170.156,185.713,-15.557,-47,-20,189.844,174.199,15.645,47,19
101.2359,165.234,179.648,-14.414,-50,-17,194.766,180.264,14.502,53,19
101.3234,161.367,173.936,-12.568,-46,-18,198.633,186.328,12.305,50,16
101.4130,158.906,168.574,-9.668,-41,-16,201.094,191.777,9.316,42,16
101.5009,158.115,164.355,-6.240,-34,-16,201.885,196.084,5.801,34,15
101.5881,158.906,160.840,-1.934,-25,-14,201.094,199.248,1.846,22,14
101.6764,161.367,159.170,2.197,-10,-13,198.633,201.006,-2.373,11,13
101.7727,165.674,158.994,6.680,2,13,194.326,201.182,-6.855,0,-15
101.8655,171.035,159.609,11.426,11,17,188.965,199.775,-10.811,-15,-17
101.9550,176.924,163.213,13.711,33,17,183.076,196.436,-13.359,-30,-18
102.0457,183.076,167.783,15.293,37,19,176.924,191.777,-14.854,-39,-20
102.1402,189.316,173.584,15.732,48,18,170.684,185.801,-15.117,-48,-18
102.2297,194.502,179.561,14.941,51,18,165.498,179.912,-14.414,-47,-19
102.3270,198.721,186.240,12.480,50,16,161.279,173.584,-12.305,-48,-19
102.4223,201.270,192.041,9.229,43,16,158.730,167.959,-9.229,-41,-17
102.5161,201.885,196.611,5.273,33,15,158.115,163.389,-5.273,-33,-16
102.6066,200.742,199.512,1.230,21,13,159.258,160.400,-1.143,-19,-14
102.6982,197.842,200.918,-3.076,8,12,162.158,159.258,2.900,-4,-14
102.7952,193.096,200.830,-7.734,-1,-15,166.904,159.170,7.734,1,14
102.8901,187.383,199.248,-11.865,-18,-18,172.617,160.488,12.129,17,18
102.9780,181.494,195.732,-14.238,-32,-18,178.506,164.268,14.238,34,18
103.0691,175.342,190.635,-15.293,-42,-18,184.658,169.277,15.381,43,19
103.1573,169.629,185.010,-15.381,-47,-19,190.371,174.814,15.557,48,19
103.2458,164.707,179.033,-14.326,-49,-18,195.293,180.967,14.326,53,19
103.3380,160.840,173.057,-12.217,-46,-17,199.160,187.295,11.865,49,18
103.4286,158.643,167.783,-9.141,-39,-17,201.357,192.656,8.701,41,17
103.5240,158.115,163.301,-5.186,-32,-16,201.885,197.139,4.746,32,15
103.6295,159.873,159.785,0.088,-17,-13,200.127,200.303,-0.176,18,13
103.7542,164.707,158.906,5.801,2,13,195.293,201.182,-5.889,0,-13
103.8700,171.299,159.434,11.865,8,18,188.701,200.039,-11.338,-13,-17
103.9613,177.363,163.037,14.326,34,17,182.637,196.523,-13.887,-31,-19
104.0515,183.516,167.871,15.645,39,19,176.484,191.602,-15.117,-42,-19
104.1392,189.229,173.496,15.732,50,19,170.771,185.977,-15.205,-50,-18
104.2477,195.381,180.879,14.502,52,18,164.619,178.682,-14.062,-48,-18
104.3569,199.775,187.998,11.777,45,17,160.225,171.826,-11.602,-44,-18
104.4481,201.621,193.359,8.262,41,16,158.379,166.816,-8.438,-38,-16
104.5553,201.621,198.018,3.604,29,13,158.379,161.895,-3.516,-28,-16
104.6810,198.457,200.742,-2.285,11,12,161.543,159.346,2.197,-7,-15
